sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
NC State,1835.8156,86.576035,74.000595,12.575435,8.6915913,72.206512,148.89412
Texas,1835.1207,83.61512,71.376167,12.238957,8.5928707,71.789948,148.89412
VCU,1833.8995,81.342773,69.386414,11.95636,2.8947239,79.822418,148.89412
Saint Louis,1824.2251,83.798607,71.918388,11.880219,0.56928849,76.456421,148.89412
SMU,1821.4882,83.686005,71.912415,11.773586,7.9251451,63.373188,148.89412
Baylor,1820.04,83.971764,72.219627,11.752131,8.9508123,59.578053,148.89412
Indiana,1812.9852,80.355415,69.209206,11.146207,9.7089872,106.6381,148.89412
Seton Hall,1812.4506,72.265182,61.956314,10.308876,7.4358029,51.435913,148.89412
Washington,1807.1869,80.024315,69.107002,10.917315,8.6222963,38.475441,148.89412
Missouri,1800.142,80.239464,69.539803,10.699661,8.3124933,96.678314,148.89412
San Diego St.,1794.8494,78.335922,67.996353,10.339565,5.1234798,57.151096,148.89412
Northwestern,1788.6989,76.448463,66.490852,9.9576082,9.3687172,29.893053,148.89412
Florida St.,1783.7443,83.32225,72.901413,10.420843,7.534472,74.679451,148.89412
UCF,1783.5944,84.23423,73.736626,10.49761,8.4834452,39.902065,148.89412
Northern Iowa,1771.2218,71.041191,62.141502,8.8996925,1.008321,66.308647,148.89412
New Mexico,1769.0261,81.296532,71.566978,9.729557,3.0214088,97.031387,148.89412
Ole Miss,1760.0995,78.854378,69.638496,9.2158785,9.7976007,81.249077,148.89412
Stanford,1759.0586,78.121719,69.002548,9.1191702,6.5134482,72.150589,148.89412
Virginia Tech,1750.6322,80.592667,71.558228,9.0344372,7.9341497,98.248352,148.89412
West Virginia,1742.3395,69.314003,61.46357,7.8504262,7.1295137,115.89026,148.89412
Georgetown,1740.2777,76.291061,67.950348,8.3407097,7.4813175,39.386063,148.89412
Grand Canyon,1739.7627,76.319092,67.993362,8.3257275,2.8523877,68.797752,148.89412
McNeese,1738.3672,76.484322,68.192314,8.2920065,-2.971772,78.333244,148.89412
Marquette,1737.1133,77.716362,69.371162,8.3451958,8.4064226,68.85186,148.89412
Akron,1736.073,81.589073,72.98391,8.6051693,-2.9882696,89.000671,148.89412
Boise St.,1731.1552,79.187088,70.933456,8.2536345,3.6174307,66.477837,148.89412
Minnesota,1729.3158,72.449989,64.765388,7.6846008,7.8542929,68.019928,148.89412
Arizona St.,1724.2864,79.188667,71.171272,8.0173988,9.9194212,58.516441,148.89412
Tulsa,1721.6825,82.642906,74.468651,8.1742573,-0.80662125,75.675339,148.89412
Wake Forest,1721.6776,80.708786,72.67244,8.0363436,8.0573864,75.088341,148.89412
Belmont,1719.2479,84.324287,76.118843,8.2054424,-0.36115283,67.766342,148.89412
Oklahoma St.,1718.4264,87.185867,78.811661,8.3742046,8.2493591,82.986641,148.89412
Providence,1717.3119,86.30394,78.031677,8.2722635,7.8283143,63.218166,148.89412
Dayton,1715.4749,73.592972,66.274033,7.3189378,3.8726346,84.247223,148.89412
High Point,1710.2207,82.010521,74.287331,7.7231941,-7.1267982,82.694572,148.89412
LSU,1709.6277,81.750443,74.065826,7.6846166,7.9280725,55.274384,148.89412
Creighton,1706.9722,78.045128,70.702766,7.3423548,8.3137884,75.710556,148.89412
California,1705.1008,79.441277,72.070061,7.3712111,4.6080189,34.823925,148.89412
Colorado,1704.8409,81.328018,73.840958,7.4870677,8.0809212,84.742706,148.89412
Hofstra,1703.6212,73.587852,66.658318,6.9295316,-2.074563,51.645943,148.89412
Wichita St.,1700.8794,76.371872,69.348389,7.023478,1.527634,69.819534,148.89412
Nevada,1700.1418,76.84819,69.818451,7.0297465,3.6537001,62.64423,148.89412
Yale,1695.6017,77.801781,70.865456,6.9363289,-2.3473735,63.705261,148.89412
Oregon,1683.8326,74.656311,68.314682,6.3416228,9.8152647,59.42403,148.89412
Colorado St.,1682.2073,75.490662,69.15329,6.3373785,2.3030732,57.467575,148.89412
USC,1680.2633,80.435455,73.872589,6.5628676,8.1547108,37.197823,148.89412
Pittsburgh,1676.0168,73.818741,67.787689,6.0310507,7.8734102,48.088795,148.89412
DePaul,1668.8813,71.099907,65.459618,5.6402912,5.4937191,19.613066,148.89412
Butler,1668.7367,80.18679,74.045708,6.1410899,7.2065654,71.847099,148.89412
Rutgers,1666.4856,77.045204,71.154488,5.8907094,8.5000343,50.738178,148.89412
George Washington,1657.97,80.165405,74.407196,5.7582021,1.4445541,80.977798,148.89412
Miami University (OH),1652.9951,83.432854,77.689781,5.7430658,-5.8515754,81.398888,148.89412
Illinois-Chicago,1651.1217,75.266098,69.99411,5.2719855,-0.62012744,49.236629,148.89412
Syracuse,1649.5306,78.39312,73.021492,5.3716249,7.6008172,56.240536,148.89412
Xavier,1642.0052,83.973579,78.608879,5.3646946,7.7486191,87.07074,148.89412
Saint Joseph's,1641.0868,74.000999,69.130119,4.8708797,-0.59878141,51.94685,148.89412
Utah Valley,1640.1127,77.569252,72.566032,5.0032167,-3.3242512,74.004486,148.89412
California Baptist,1637.8113,72.090157,67.417671,4.6724877,-1.6702163,59.348743,148.89412
George Mason,1633.6682,70.553192,66.087082,4.4661074,0.61192876,58.513454,148.89412
Illinois St.,1630.8167,74.190353,69.658081,4.5322752,0.76551753,85.893311,148.89412
UNLV,1630.4812,80.538361,75.744995,4.7933726,3.5361402,58.869736,148.89412
South Carolina,1629.9236,75.278816,70.729866,4.5489492,7.6467261,53.477459,148.89412
Bradley,1629.4064,79.571999,74.858055,4.7139463,1.1752276,101.48979,148.89412
Mississippi St.,1619.9663,80.042023,75.64679,4.3952279,9.3321447,75.458107,148.89412
UC Irvine,1619.6786,73.908966,69.766113,4.1428585,-2.8465998,57.20042,148.89412
Kansas St.,1619.1246,81.387299,76.970108,4.4171853,8.6503,76.034737,148.89412
UNC Wilmington,1618.186,73.718674,69.633957,4.0847106,-4.2524295,53.21706,148.89412
Maryland,1616.3844,73.458847,69.445297,4.013555,9.4660549,90.806229,148.89412
North Dakota St.,1615.3055,75.078339,71.039078,4.0392575,-6.2492814,60.909649,148.89412
Southern Illinois,1604.9336,71.456131,67.901077,3.5550606,0.91274226,58.963062,148.89412
Wyoming,1602.6349,75.540169,71.921455,3.618717,1.4097867,63.929535,148.89412
Notre Dame,1602.057,78.14193,74.455498,3.6864336,7.0166593,67.042183,148.89412
Hawaii,1593.4381,76.019058,72.704712,3.3143444,-4.2894897,14.597467,148.89412
St. Thomas,1589.8479,76.993454,73.775558,3.2178969,-7.019218,64.047981,148.89412
Stephen F. Austin,1585.7734,72.546967,69.600113,2.9468582,-4.5133677,67.53138,148.89412
Harvard,1585.5718,69.104759,66.264427,2.8403287,-1.4581798,2.6235747,148.89412
UAB,1576.3109,76.977737,74.238937,2.7388043,-0.21434094,78.304436,148.89412
Sam Houston,1573.4817,78.383461,75.710823,2.6726353,-2.55531,86.035408,148.89412
Davidson,1571.4402,70.285233,67.879532,2.4057038,0.43797955,72.912369,148.89412
Utah,1571.0743,75.435638,72.918976,2.5166576,8.6945715,105.46042,148.89412
Boston College,1570.0898,70.535904,68.169159,2.3667414,5.5198231,11.40561,148.89412
North Texas,1568.4958,70.613625,68.298271,2.3153496,-0.90643907,33.949787,148.89412
Duquesne,1568.4595,75.710205,73.278824,2.4313843,0.66815859,49.975605,148.89412
Penn,1568.3079,75.317993,72.900864,2.417136,-0.32338896,63.55928,148.89412
Seattle,1568.1044,68.721611,66.463234,2.2583721,-0.22969475,59.055023,148.89412
UT Rio Grande Valley,1568.0797,75.391701,72.980873,2.4108269,-3.6417053,34.700642,148.89412
Towson,1564.9388,69.030151,66.868729,2.1614182,-0.85296607,58.137661,148.89412
San Francisco,1564.22,75.516678,73.238388,2.2782865,2.0873222,37.200207,148.89412
Cornell,1563.7953,85.855309,83.375771,2.4795368,-1.9961423,47.504368,148.89412
Navy,1563.2657,71.116371,68.965126,2.1512451,-7.776794,42.552742,148.89412
Pacific,1561.1084,70.970863,68.895226,2.075633,-0.25169402,47.47559,148.89412
Florida Atlantic,1560.8354,76.421967,74.244202,2.1777678,0.46594897,44.33165,148.89412
St. Bonaventure,1559.1646,77.017342,74.887108,2.1302402,0.81327641,47.993015,148.89412
Liberty,1554.323,75.483421,73.553658,1.9297595,-3.1281068,59.677017,148.89412
UMBC,1553.1322,73.967209,72.106339,1.8608742,-8.9052267,23.46047,148.89412
Robert Morris,1549.308,72.48362,70.780205,1.7034212,-4.6883593,45.417679,148.89412
Troy,1547.6024,73.54747,71.885437,1.6620369,-3.9212201,56.476257,148.89412
Toledo,1545.7197,77.448135,75.791763,1.656371,-2.128732,84.951378,148.89412
Kennesaw St.,1542.6384,79.026627,77.458832,1.5678009,-3.7098851,56.806622,148.89412
Kent St.,1541.1951,79.329544,77.810333,1.5192102,-2.7243097,62.630302,148.89412
Fordham,1541.0802,68.785561,67.4161,1.3694587,-2.2443273,24.429401,148.89412
