sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
Louisiana (Lafayette),1251.9487,64.696259,73.030548,-8.3342886,-2.7816691,57.997307,148.89412
South Carolina Upstate,1251.4746,67.887527,76.521622,-8.6340923,-6.7147946,47.074516,148.89412
Stetson,1249.6467,70.359451,79.278244,-8.9187994,-5.4554543,33.229881,148.89412
Houston Christian,1246.1268,64.96962,73.533401,-8.5637836,-4.6422834,64.344482,148.89412
Le Moyne,1243.9932,70.702187,79.862267,-9.1600761,-7.4490514,61.010216,148.89412
Oral Roberts,1241.1644,69.460205,78.612976,-9.1527786,-5.4253116,62.021233,148.89412
Little Rock,1241.0128,68.101189,77.135078,-9.0338955,-6.7312984,58.551144,148.89412
Tennessee Tech,1236.4396,68.546082,77.788528,-9.2424479,-8.0309925,75.985428,148.89412
Georgia St.,1234.0925,68.770409,78.120171,-9.3497562,-4.4058294,50.205715,148.89412
New Haven,1231.9209,62.776985,71.630531,-8.8535461,-7.8649821,58.858078,148.89412
Cleveland St.,1228.9998,75.841148,86.048088,-10.206942,-4.0113196,53.807243,148.89412
Norfolk St.,1228.0057,71.683472,81.536591,-9.853117,-10.752446,72.149231,148.89412
IU Indy,1224.6743,76.652191,87.10675,-10.454557,-5.2303548,36.810295,148.89412
East Texas A&M,1223.9473,67.425583,77.017609,-9.5920248,-4.0183969,55.816685,148.89412
Manhattan,1220.1859,71.509705,81.642944,-10.133243,-5.8648868,38.265053,148.89412
Stonehill,1215.9777,63.445267,72.921585,-9.4763203,-7.7519131,60.557045,148.89412
Eastern Illinois,1215.9191,65.050919,74.694244,-9.6433191,-6.8900957,38.319988,148.89412
Florida A&M,1203.4359,66.348351,76.576515,-10.22816,-9.4828548,52.498474,148.89412
UTSA,1201.9341,70.073792,80.751831,-10.678046,-0.34707433,31.259346,148.89412
Texas Southern,1200.5457,69.463318,80.129059,-10.665738,-8.8701372,66.54911,148.89412
Lafayette,1196.4561,67.094803,77.65802,-10.563215,-5.9827189,43.155811,148.89412
Northern Arizona,1194.4508,66.597237,77.179573,-10.582342,-4.4281774,50.447544,148.89412
Grambling,1191.0104,63.434776,73.789818,-10.355045,-10.113141,38.196747,148.89412
Holy Cross,1186.5936,66.224281,77.052071,-10.827785,-6.2548132,36.829231,148.89412
The Citadel,1181.1508,68.139099,79.384476,-11.245375,-6.070919,17.696375,148.89412
Fairleigh Dickinson,1178.0549,64.010963,74.893166,-10.882196,-8.5028811,33.612526,148.89412
NJIT,1177.9716,65.024551,76.028091,-11.003532,-6.2866268,53.012642,148.89412
North Florida,1175.6982,75.068192,87.308731,-12.24054,-4.2001386,52.304344,148.89412
Alabama A&M,1170.3699,67.555542,79.134735,-11.579188,-10.706272,68.668541,148.89412
Bucknell,1168.717,66.58017,78.104889,-11.524714,-4.1455212,63.272709,148.89412
Arkansas-Pine Bluff,1167.8799,70.255035,82.246323,-11.991283,-8.9725523,48.28529,148.89412
Niagara,1165.0365,62.995747,74.220779,-11.225028,-6.2531571,46.065708,148.89412
Alabama St.,1159.7764,67.439232,79.399071,-11.959832,-7.7988362,52.575771,148.89412
North Alabama,1157.5133,65.414581,77.208984,-11.7944,-5.4861336,56.558891,148.89412
Maine,1154.4044,60.843086,72.173241,-11.330152,-7.215838,31.972263,148.89412
Army,1149.6257,67.932846,80.334,-12.401155,-7.2011909,20.666088,148.89412
Canisius,1144.0209,62.148861,74.013428,-11.864568,-5.4336686,43.453426,148.89412
Chicago St.,1141.5504,65.042252,77.373688,-12.331441,-4.7941046,41.537109,148.89412
Cal State Bakersfield,1137.6479,70.835182,84.063026,-13.22785,-3.4705868,50.651382,148.89412
Morgan St.,1131.2195,71.538246,85.108055,-13.569804,-11.091959,70.792473,148.89412
Southern Indiana,1129.7263,65.119698,77.895729,-12.776032,-7.548954,51.275444,148.89412
New Hampshire,1127.2368,66.817764,79.914795,-13.097024,-6.9230304,30.403948,148.89412
Bryant,1126.0583,64.908897,77.79142,-12.882522,-6.4871302,63.43977,148.89412
Northern Illinois,1123.8978,65.037361,78.016991,-12.979632,-3.4510033,37.999783,148.89412
North Carolina Central,1113.0563,67.376602,81.084778,-13.70818,-10.500919,93.233513,148.89412
Saint Francis (PA),1100.9783,70.495125,85.108498,-14.613379,-6.5090613,50.772289,148.89412
Binghamton,1095.5339,66.083717,80.268608,-14.184895,-9.1319656,44.193684,148.89412
Jackson St.,1089.0592,68.909912,83.75853,-14.848615,-6.2737932,53.489986,148.89412
South Carolina St.,1088.2598,65.603241,79.990356,-14.387111,-8.268259,54.857037,148.89412
Air Force,1077.9585,63.828804,78.329399,-14.500592,2.5012949,13.94449,148.89412
Rider,1077.7939,64.163979,78.722633,-14.558661,-3.7391055,47.87619,148.89412
Louisiana Monroe,1067.379,70.668747,86.634888,-15.966135,-5.2092032,66.496735,148.89412
VMI,1062.4916,66.570877,82.084732,-15.513851,-5.9109139,53.743275,148.89412
MD Eastern Shore,1056.0966,61.170845,76.046654,-14.875812,-8.8562202,52.640987,148.89412
Gardner-Webb,1028.2546,65.978447,82.708839,-16.730394,-4.0149879,41.357254,148.89412
Alcorn St.,1025.8439,62.996174,79.298355,-16.302177,-6.6358128,87.871445,148.89412
Coppin St.,1003.9718,63.71656,80.972816,-17.256256,-6.5776582,43.116581,148.89412
Kansas City,955.67877,64.186028,83.38813,-19.202106,-5.9030161,36.966675,148.89412
Delaware St.,950.81458,57.383247,75.362099,-17.978855,-11.801667,51.198528,148.89412
Western Illinois,924.63129,62.172287,82.153152,-19.980869,-7.9728804,36.855297,148.89412
Mississippi Valley St.,800.22174,59.446072,83.594406,-24.14834,-8.7038403,73.631721,148.89412
